answer,question
"It is recommended to either export the file through the ""File > Export > Create Nuance PDF' feature or the 'File > Save as Nuance PDF' feature.
Note:
Both 'Export > Create Nuance PDF' and the 'Save as Nuance PDF' features are new to version 3 of Power PDF.",Power PDF 3 Unable to save track changes in a Microsoft Word document
"Power PDF 3.0 Firefox addon will need to be enabled again
 
To enable the Power PDF 3.0 Firefox addon see below
Open FireFox
Click on the ""Open menu"" option (Three lines)
Click on the ""Add-ons"" option
Click the ""Enable"" button next to the ""Nuance PDF Create 3.0 (disabled)"" option
Click the ""Enable"" button on the ""Nuance PDF Create 3.0 added"" popup
 
Update: This is an issue with Mozilla FireFox diabling the plugin after we have installed the plugin.",Power PDF 3.0 Firefox addon not showing up / disabled
"These settings are stored in an XML file named user.config which can be found in the following path:
C:\Users\%username%\AppData\Local\Nuance_Communications,_In\DefaultDomain_Path_rndn432kbmcyle1mu1ndhhdwmpaate5u\3,0,0,49",Power PDF 3.0: Where are the settings for the iManage Work 10 connector saved?
Power PDF 3.0 was released prior to the release of Office 2019 and as such is not listed as supported in the ReadMe file within the Power PDF installer. Kofax's product managment team has confirmed Office 2019 is supported on Power PDF 3.0. The release readme will be updated to reflect as such in the release of Power PDF 3.1.,Power PDF 3: Is Office 2019 supported?
"Issue:
Power PDF v2.1 print jobs are held in the printer queue
Resolve:
AccuRoute v5 is the culprit (they've identified it as a known issue). The solution is to modify the ports registry key that will then allow Nuance to attach to a printer.
Omtool fixed the issue in their newer release (v6), however, clients that are still using v5 will need to modify the Ports registry. Advise them to contact Omtool for details and assistance.",Power PDF v2.1 print jobs are held in the printer queue with Omtool installed
"By default, Power PDF uses your login name as the Author in comments you add to a PDF, You can change the Author of the comments by performing the following steps:
Open a PDF document in Power PDF.
Go to Option -> Comment -> Commenting
Disable ""Always use Log-in Name for Author name""
Add a comment, or if there is an existing comment, right-click on the comment and select Properties.
Go to the Display Tab and add the Authors name you want to appear on the comments.
Close the dialog box.
Right Click on the comment again and select ""Set Current Properties as Default"".
From this point on, Power PDF will use the Author name you added in all new comments.",Power PDF: How to change the Author of comments added to a PDF to use something other than the login name
"This function was added in Power PDF hotfix after version 3.0 and can be used with kofax Power PDF 4.0, 4.1 and later releases.
This hotfix implemented the ability to force the ""iManage - Use Document Profile"" option from an ini-file, separately for Open and Save dialogs.
This is defined in the file ""PDFProDMS.ini"" to be created in ""C:\ProgramData\Nuance\"", and the content should be as following:
[WorkSite]
FORCE_USEPROFILE_SAVE=1
FORCE_USEPROFILE_OPEN=0
The choices are:
0 - do not force this option; 1 - force it",Power PDF: How to set iManage to use the Non-enhanced dialog for Save As and Enhanced dialog for Open
The customer had to adjust the setting on the Work server with the Local Application for Nuance. It was set to non-integrated and should have been set to Com-Integrated.,"Power PDF: Receiving the error message ""This file cannot be found"" when opening a PDF from imanage Desksite"
"Unchecking ""Verify SharePoint path for file"" or adding this server name to the section in the SharePoint settings under ""Never check paths containing these server names"" should resolve this.
These settings are is found under FILE, OPTIONS, CONNECTORS, SharePoint.",Power PDF: Slow response time or lag when opening or combining documents from a DFS namespace shared folder
"This can happen when the tab order for the document is set to use document structure.
Here is how you can change this so you can adjust the tab order in this document.
1. Open the document in Nuance Power PDF.
2. Expand the Pages pane on the left side
3. Highlight all of the page(s)
4. Right-click on the highlighted page(s) and select ""Page Properties""
5. Select ""Unspecified"" and Close
Now you should be able to go into Forms and set the tab order.",Power PDF: Unable to set the TAB order in a PDF form
"In Power PDF 2.1 the following registry key controls this default setting.
HKEY_CURRENT_USER\Software\Nuance\PDF\Nuance Power PDF\Preference
UseSelectTool
0 = default to the Hand select tool
1 = default to the Arrow select tool
In PPDF 3 it is under Options / General / Miscellaneous in Power PDF 3",Power PDF: What is the location of the registry key for the Select/Hand Tool Default Selection?
This is set in the following registry key: HKCU\Software\Nuance\PDF\V1\Sharepoint\BindSearch 0 is off 1 is on,"Power PDF: Where is the location of the setting ""Verify SharePoint path for file"" in the registry?"
"This can happen if the user does not have the iManage client installed on the workstation.
We have currently 2 iManage connectors for Power PDF:
Old connector for File/DeskSite clients
New Connector which does not require any client software to be installed on the clients machine. And it connects directly to the iManage 10.1 and 10.2 servers.
If user wants to connect to an iManage server through the File/DeskSite client, then user has to install it. The old iManage connector requires iManage Desksite or Filesite to be installed and configured on the workstation.",Power PDF: iManage Work connector not showing on user interface after installation
"We recommend installing a PCL (Printer Command Language) driver onto the device, suitable for the typical usage requirements of the organisation.
Documents will now be printed in black & white when the user selects this setting in the printer properties of the device.",Power PDF: unable to print in black & white
"Information:
How to change the default filter conditions when opening a document from iManage WorkSite / DeskSite. When you select Open from DMS, is there a way to default the highlighted area to all file types instead of just PDF?
Use the following steps.
Create the following file: %ALLUSERSPROFILE%\Nuance\PDFProDMS.ini (usually C:\ProgramData\Nuance\PDFProDMS.ini)
2. Add the following to the PDFProDMS.ini file to display all files.
[WorkSite]
PDFOPENFILTERAPPID=""""
If you just want to see PDF and WORD files, use this:
[WorkSite]
PDFOPENFILTERAPPID=""ACROBAT, WORD, WORDX""
If you want to include other specific file types, you just have to include the Alias as shown in the filter dropdown in the iManage interface such as EXCEL for spreadsheets.",PowerPDF - How to change the default filter conditions when opening a document from iManage WorkSite / DeskSite
"Information:
How to enable the ""Open From"" or ""Save To"" OneDrive option in PowerPDF
Currently this option is automatically present in PowerPDF if the OneDrive client has been installed on the workstation. If you uninstall the OneDrive client, this option will not be presented when you open PowerPDF.","PowerPDF - How to enable the ""Open From"" or ""Save To"" OneDrive option"
"No, This was supported in 2.0, however dropped in 2.1.",PowerPDF 2.1 - HP Trim support
Move the APPDATA folder back to the local machine,PowerPDF 3.0: slow while closing
Confirm all Windows Updates are current and reboot the pc.,PowerPDF is crashing with error codes doing random actions
Apply Microsoft Visual C++ 2015 x86 and Micrsoft Visual 2015 C++ x64 Prerequisite required for PowerPDF 2.1.,PowerPDF is not detecting installed scanners
"This behavior you describe can be caused by a setting in Office 2016. You must have Outlook set to always display the images in the emails. If you have to click a button at the top of email each time then it'll be missing. Since we have to load the email to archive it, if user intervention is required to show the image then it won't be in the archive.",PowerPDF not capturing the graphic images when archiving email from Outlook
"""Publish.xml"" is what gets accessed when typewritter tool is enabled. The location is ..\AppData\Roaming\Nuance\PDF\NuancePDF\UILayout. Confirm the user is using a current file. Some deployments push files. An older ""Publish.xml"" can cause the TypeWriter format not to appear.",PowerPDF not showing TypeWriter Format
"This is by design - the only way to preserve the annotations is by printing the Word document to a PDF with the markups visible in Word.
In order for annotations to be preserved and viewable after a document has been converted from MS Word format to PDF, the following must be performed:
In the MS Word document, make sure the annotations are visible - if they are not, On the Review tab, enable Show Markup
Click File > Print
From the Printer drop-down box, select ScanSoft PDF Create! or Gaaiho PDF or Nuance PDF.
Click Print
In the Save As window, designate a location to which the file will be saved and enter a name for the file
Click Save and the resulting PDF will include the annotations.",Preserving annotations when converting an MS Word document to PDF
"This is a known limitation in Nuance PDF products. If you want to be able to right-click and convert to PDF a text document, the default application for opening a text document must be Notepad or WordPad.","Right Click, Convert to PDF does not work on a text document if the default text document application is Notepad ++"
"Prerequisites or redistributable packages may not be installed (Due to the installer being run from individual folder eg: x64/x86)
When the software is installed in this manner, the redistributable packages will not install, even if run as admin
Solution:
Manually ran the redist packages from the install folder and reboot the workstation, test for desired results.",Scanner Setup dialog box does not appear in Power PDF
"This is a known issue in power PDF version 2.0. As a workaround, the user can install ""Arial Unicode MS"" font and then the stationery will be applied.",Stationery with Japanese text is not applied in *.pdf file
The old versions of Nuance PDF products does not support the new Cloud NetDocuments 6.3 - Nothing happens when click on Open from ND 1.2 - Nothing happens when click on Open from ND 2.0 - Nothing happens when click on Open from ND From PPDF 2.1 - ndOffice client need to be installed to get NetDocument integration in PPDF Pro. When ND office is installed Power PDF can access the new NetDocuments cloud.,Support for the new Cloud NetDocuments DMS in PDF products
This is a known issue which will be addressed in a future release,Text from the Contents tab is overlapped on the Index tab on the Navigation Component in the online help for PowerPDF 2.1 when printed
"This is ""as designed"". Our current product does not save panel settings when the software is closed even though other view aspects are retained.
Note: an enhancement request has been filed to consider changing this behavior in a future release, but no ETA is available.","The Bookmarks bar or stamps or pages panel resizing does not stick when the PowerPDF software is closed and reopened even though ""Save and use my current view"" is enabled."
Manually copy SZNPRNCMD.DLL from C:\Program Files (x86)\Nuance\Power PDF 20\bin to C:\Windows\System32\spool\drivers\x64\3.,Unable to Print using Nuance PDF print driver.
"Explore to HKEY_CURRENT_USER\Software\Microsoft\Windows NT\CurrentVersion\Devices
If there is a ""Nuance PDF#:Number"" you cannot print to our Nuance PDF printer.
Example you find a ""Nuance PDF#:8"", you rename string back to ""Nuance PDF""
This is the behavior of the Thin Client and not related to Nuance.
The customer will need to address this with Thin Client support.",Unable to print to Nuance PDF printer using Thin Client Environment
"It is recommended that you use the Textbox tool in the Comment menu to add comments to a PDF document instead of using the typewriter tool. When editing the document later in Adobe Acrobat Reader it will be possible to remove the textbox comment[s] from the document.
To remove a Textbox comment from a document, follow the steps below:
- Right-click the Textbox comment to highlight it.
- Select 'Delete' from the context menu to delete the comment from the document
- When prompted, save the changes to the document.
Textbox comments will now be removed from the document.
[*] This is particularly important in the workflow of users who have to work with documents created or edited in Power PDF, who do not have the product installed themselves.",Unable to remove text elements from a document in Adobe Reader
"Unable to resize text boxes and added form elements with our PDF software.
Information:
This article provides information on an issue that may arise where you add form elements to a PDF document, such as check mark boxes, text boxes and radio buttons.
You may find after an option is set that you become unable to resize text boxes and added form elements with our PDF software and to change the size when attempting to adjust them after they are placed.
Cursors and items will jump around the page in 1 inch increments and not respond to your mouse movements and desired size.
Cause:
Under view ""snap to grid"" was enabled and this setting causes the elements to only be placed on gridlines and this setting may be checked and forgotten about.
Solution: for PowerPDF :
Please see click under the edit ribbon > under Alignment > click to uncheck snap to grid to resolve this issue.",Unable to resize text boxes and added form elements with Power PDF
"Solutions are described in this article on the Microsoft Windows Forum:
https://answers.microsoft.com/en-us/...14e202b?auth=1",Unable to search for OCR'd PDFs using Windows Search
"Document Management System support in the Advanced Edition
• Microsoft® SharePoint Server 2003, 2007, 2010 and 2013 Windows SharePoint Services (WSS) 3.0 and Microsoft Office 365
• eDOCS DM (former Hummingbird Enterprise™ 5.3.1 and 10
Power PDF supports eDOCS systems if a DM Extensions API is installed and configured on the client machine. The product is also integrated into Windows Explorer DM Extension.
• Interwoven® WorkSite 8.3, 8.5 and 9
Power PDF supports Interwoven WorkSite systems if DeskSite 8.2 or FileSite 8.2 for WorkSite 8.3 or FileSite 8.5 for WorkSite 8.5 or DeskSite 9 or FileSite 9 for WorkSite 9 is installed and configured on the client machine. The product is also integrated into DeskSite and FileSite clients. The Nuance implementation warns if a requested document is checked out to another user.
• Livelink® ECM - Enterprise Server 9.7.0 and 10 from OpenText Corp.
Power PDF supports LiveLink ECM if a LiveLink Explorer Professional Windows Client is installed and configured on the client machine.
• OpenText Enterprise Connect
Supports OpenText Content Server through Enterprise Connect if the Enterprise Connect framework 10.5 or higher is installed and configured on the machine
• NetDocuments SaaS cloud-based storage.
Save files to this web-based storage facility, providing Software as a Service (SaaS).
• Worldox® GX3 and GX4
• EMC2® Documentum 7.1, 6.7
Power PDF supports EMC2 Documentum if a DFC 6.5 client is installed and configured on the client machine.
• Xerox DocuShare 6 and 6.5
• OnBase 13+
To work with Hyland's OnBase from Power PDF the Nuance module must be licensed on the OnBase server",What Document Management Systems are supported by PowerPDF Advanced 2.0?
"Document Management System support in the Advanced Edition
Microsoft® SharePoint Server 2003, 2007, 2010 and 2013 Windows SharePoint Services (WSS) 3.0 and Microsoft Office 365
eDOCS DM (former Hummingbird Enterprise™ 5.3.1 and 10
Power PDF supports eDOCS systems if a DM Extensions API is installed and configured on the client machine. The product is also integrated into Windows Explorer DM Extension.
Interwoven® WorkSite 8.3, 8.5 and 9.3
Power PDF supports Interwoven WorkSite systems if DeskSite 8.2 or FileSite 8.2 for WorkSite 8.3 or FileSite 8.5 for WorkSite 8.5 or DeskSite 9.3 or FileSite 9.3 for Work 9.2 is installed and configured on the client machine. The product is also integrated into DeskSite and FileSite clients. The Nuance implementation warns if a requested document is checked out to another user.
Livelink® ECM - Enterprise Server 9.7.0 and 10 from OpenText Corp.
Power PDF supports LiveLink ECM if a LiveLink Explorer Professional Windows Client is installed and configured on the client machine.
OpenText Enterprise Connect
Supports OpenText Content Server through Enterprise Connect if the Enterprise Connect framework 10.5 or higher is installed and configured on the machine
NetDocuments SaaS cloud-based storage.
Save files to this web-based storage facility, providing Software as a Service (SaaS).
Worldox® GX3 and GX4
EMC2® Documentum 7.1, 6.7
Power PDF supports EMC2 Documentum if a DFC 6.5 client is installed and configured on the client machine.
Xerox DocuShare 6 and 6.5
OnBase 13+
To work with Hyland's OnBase from Power PDF the Nuance module must be licensed on the OnBase server.",What Document Management Systems are supported by PowerPDF Advanced 2.1?
"The exe enables PDF Create addin (toolbar) in IE for creating PDF files. Also required for ""from a web page"" to work correctly.",What does SPDFIEBroker.exe do in PowerPDF?
"The following settings are collected, and only these settings.
Bates Numbering
src: [roaming user appdata]Nuance\PDF\NuancePDF\Preferences\batesStampSettings.xml
dest: [CommonAppDataFolder]Nuance\PDF\NuancePDF\Preferences\batesStampSettings.xml
Clip Art
src: [roaming user appdata]Nuance\PDF\NuancePDF\Resource\ClipArt
dest: [INSTALLDIR]Bin\Plug-Ins\ClipArt
Envelope
src: [roaming user appdata]Nuance\PDF\NuancePDF\Resource\Template
dest: [INSTALLDIR]Bin\Plug-Ins\Security
Security Profile
src: [roaming user appdata]Nuance\PDF\NuancePDF\Security
dest: [INSTALLDIR]Bin\Plug-Ins\Security
SharePoint sites
src: [roaming user appdata]Nuance\PDF\V1\SPServers.dat
dest: [CommonAppDataFolder]Nuance\PDF\V1\SPServers.dat
Stamp
src: [roaming user appdata]Nuance\PDF\NuancePDF\Resource\Stamps
dest: [INSTALLDIR]Bin\Plug-Ins\Stamps
Watermark
src: [roaming user appdata]Nuance\PDF\NuancePDF\Resource\Watermarks
dest: [INSTALLDIR]Bin\Plug-Ins\Watermarks
Printer driver settings (Only settings from PDF Settings tab + Grayscale and View Resulting check boxes from General tab. Other settings there at first tab can't be stored)
src: [roaming user appdata]Nuance\PDF\PDF Driver
dest: [CommonAppDataFolder]Nuance\PDF\PDF Driver
Create Assistant settings
src: [roaming user appdata]Nuance\PDF\PDFDirect
dest: [CommonAppDataFolder]Nuance\PDF\PDFDirect
UI settings
src: [roaming user appdata]Nuance\PDF\NuancePDF\UILayout\Publish.xml
dest: [INSTALLDIR]Resource\NuancePDF\UILayout\Publish Mode.xml
src: [roaming user appdata]Nuance\PDF\NuancePDF\UILayout\Write.xml
dest: [INSTALLDIR]Resource\NuancePDF\UILayout\Editing Mode.xml
src: [roaming user appdata]Nuance\PDF\NuancePDF\UILayout\Reader\Reader.xml
dest: [INSTALLDIR]Resource\NuancePDF\UILayout\Reader\Reading Mode.xml","What is being detected when using the ""Collect Application Settings"" in the PowerPDF Customization Kit?"
"When you check ""Embed Metadata"" in the conversion settings in the MS Word Add-in, the ""author"" and the ""title"" is set in the pdf to the same as the items shown in the properties of the Word file
When you un-check ""Embed Metadata"" in the conversion settings in the MS Word Add-in, the ""author"" is set to the system user and the ""title"" is set to the MS Word file name.
This is the only metadata that is included in the PDF, regardless of the settings.","What is the function of ""Embed Metadata"" checkbox in the Conversion settings in the MS Word Add-in?"
Power PDF 2.0 20 Language build (16517.100) now supports CaseMap 12. Please install this version or later.,What version of Power PDF supports CaseMap 12?
"There is a file ""Publish.xml"" in the %appdata% folder that stores the Quick Access Toolbar information. If the %appdata% folder is being removed when you log out, the next time the user logs in, it gets a default Publish.xml file so the QAT changes will be gone.","When using Citrix, users are unable to save changes to the Quick Access Toolbar in PowerPDF"
"These settings are kept in the registry. If you wish to export these settings to other users, first make the changes in Settings tab. Next, export the following registry key: HKEY_CURRENT_USER\Software\Nuance\PDF\V1\Outlook This key can then be pushed to other workstations manually after Power PDF has been installed.",Where are settings for mail archiving located in Power PDF 2.1?
"Portfolio editing is now done through the icons on the left over the page preview panel when you open a portfolio. You click on the plus sign to add files to the portfolio, click on the folder icon to add new folders, etc. You right click on the specific files or folders to edit or delete them.
This was changed to be consistent with the approach used by Adobe in Acrobat DC.",Where are the Portfolio Edit menus in PowerPDF 2.0?
"The Microsoft Office Add-in settings are stored in the file ""Default.fit"" in this location: ""C:\Users\\AppData\Roaming\Nuance\PDF\PDFWord""
(%APPDATA%\Nuance\PDF\PDFWord)",Where are the Power PDF Microsoft Office Add-in settings stored?
"The PDF Create Assistant has several default Profiles for creating new *.pdf files. New profiles can be created through the PDF Create Assistant. These settings are stored in a configuration file that can be moved from one computer to another.
The configuration file can be found at:
%userprofile%\AppData\Roaming\Nuance\PDF\PDFDirect\ENU\config.ini
NOTE: Refer to KB 16806 for this information for previous PDF versions.",Where are the Profile settings stored for PDF Create Assistant in Power PDF
"The PDF Create Assistant has several default Profiles for creating new *.pdf files with. New profiles can be created through the PDF Create Assistant. These settings are stored in a configuration file that can be moved from one computer to another if the same user needs to migrate thier profile
The configuration is %appdata%\Nuance\PDF\PDFDirect\ENU\config.ini
Just configure the computer with the settings you want and save them, then copy this file to the other workstation the same profile user uses to copy those settings.",Where are the Profile settings stored for PDF Create Assistant in Power PDF?
"Searchable PDF settings are controlled by these registry keys:
Process documents using OCR is controlled by this key:
HKEY_CURRENT_USER\Software\Nuance\PDF\V1\Using OCR
1 for enabled, 0 for disabled
Process All pages is controlled by this key:
HKEY_CURRENT_USER\Software\Nuance\PDF\V1\Src_AllPages
1 for all pages, 0 for image only pages",Where are the Searchable PDF settings stored in Power PDF?
"All Power PDF SharePoint settings are saved in this registry key:
HKEY_CURRENT_USER\Software\Nuance\PDF\V1\SharePoint\
For example:
Q. how to check\uncheck the option ""Verify Sharepoint path for file"" located at File==> Options==>Connectors==>Sharepoint in power PDF
A. HKEY_CURRENT_USER\Software\Nuance\PDF\V1\SharePoint\""BindSearch""
1 = ""Verify Sharepoint path for file"" checked
0 = ""Verify Sharepoint path for file"" unchecked
- Ask questions before checkout is controlled by the key ""ask_checkout""",Where are the Sharepoint Settings saved in Power PDF?
These files are stored in a folder in the %temp% folder. The folders have random names that start with ZNP. The files contained in the folders are PDF files and can be open directly in any PDF reader.,Where are the autosaved files located in PDFC 8.2 / EPPO 6.3?
"These settings are kept in the file textbox.ini which is found at %Appdata%\Nuance\PDF\NuancePDF (C:\Users\\AppData\Roaming\Nuance\PDF\NuancePDF
If you want to deploy these settings firmwide, you can set up one copy of Power PDF, and then copy this file to the remaining workstations.",Where are the default settings for Comment Font stored in Power PDF?
"This information is stored in this registry key: [HKEY_CURRENT_USER\Software\Nuance\PDF\Nuance Power PDF\SearchToolHistory ]
If a client wishes to copy this setting to other users, this key would need to be exported and imported into the other workstations.","Where is Power PDF ""Find a Tool"" history stored?"
"With the release of PowerPDF 2.0, Nuance has eliminated the Nuance Cloud Connector and instead added the most used connectors directly in the software.
You can now open PDFs directly from Dropbox, Evernote, NetDocuments and Sharepoint from the file, open menu in PowerPDF.
Additionally, under the DMS menu are options for DocuShare, EMC Documentum, EnterpriseConnect, eDOCs, HP Trim, iManage Work, LiveLink and Worldox.",Where is the Nuance Cloud Connector in PowerPDF v2.0?
"An acceptable work around is to print the documents in question to ScanSoft PDF create and save them. They now can be combined without error.
If the client would like the forms fields to be active after conversion, take the converted document, open it and go to Forms / Forms Typer. Re-save the document.
This will now allow you to open the combined document and fill in the form fields.",XFA Documents Cannot be combined
"Check the following location in the registry:
Current_USER\SOftware\Intervowen\8.0\WorkSite\Common\General\Portable\
Check to see if entry in this key has double slashes, eg: c:\\temp\\temp1
If so, remove double slashes to make it look like a proper path eg: c:\temp\temp1 and test again",iManage document title does not appear above the ribbon in Nuance Power PDF
Crashing of Kofax Power PDF for Mac is known to occur due to breaking changes introduced by Apple in Mac OS 10.15. Kofax has released Power PDF for Mac 3.5.1 to address this issue.,Kofax PDF for Mac crashes after editing document
"Information:
The latest release information regarding Power PDF 4 and later, can be be found in the
Power PDF Product Release Information
article.",Power PDF 4 - What is the latest version?
"Question / Problem:
Does Power PDF for Mac support Mac OS 10.15?
Answer / Solution:
Kofax has relased Power PDF for Mac 3.5.1 which adds support for Mac OS 10.15 Catalina. Version 3.5 and earlier do not support OS 10.15.",Power PDF for Mac support for Mac OS 10.15 Catalina
"The issue can be resolved by renaming the users Roaming folder: %appdata%\Kofax\PDF. This allows Power PDF to create the needed Roaming Profile folders and files upon the next launch of the program.
To check if the issue is caused by Javascript being disabled: check the setting in Power PDF
Navigate to File -> Options -> Javascript -> [x] Enable Javascript in Power PDF
If turned off, this is the cause of the issue. You will need to close and reopen Power PDF to ensure it takes effect when enabling java before trying a dynamic stamp again.
Level of Complexity
Moderate",Date and Time on Dynamic Stamps not updating
"This cannot be disabled at the time of installation currently under after the user creates a session in powerPDF by opening it for the first time; However following the wizard a new registry key is set. Using this logic to prepopulate this it will disable the Accessibility Options dialog window, you will need to adjust the value in the SetUpAccessbility registry key.
This key is not created until after the prompt appears and the user clicks next and finish.
Power PDF 4.x and 5.x
Hive: HKEY_CURRENT_USER\SOFTWARE\Kofax\PDF\Kofax Power PDF\ReadOrderMain
Dword Value: SetUpAccessbility
0 (will prompt you for the dialog box option)
1 (will suppress the dialog box)
DISCLAIMER
: Edit the Registry at your own risk. Inappropriate changes to the Windows Registry can disable the operating system. To safeguard against such an accident, we recommend that you back up your existing registry by choosing Registry » Export Registry File after launching the Registry Editor and before making any changes suggested in this article.
Level of Complexity
Moderate",How to disable the Accessibility Options dialogue window when Power PDF is opened for the first time.
"The configuration file that stores the iManage server setting for Power PDF is stored in the Imanage_connections.xml file which is located in the %AppData%\Kofax\PDF\V1 folder. This file is created when the user opens PowerPDF and enters the server name for Imanage and connects. Once created, it can be pushed from one to all users to pre-populate the server connection information.
Level of Complexity
Moderate",How to update the Imanage server connection information on a mass deployment
"Power PDF versions 3.1, 4.0 & 4.1 all support the Office 365 (64-bit) application suite.
Level of Complexity
Easy",Is Kofax Power PDF compatible with the Office 365 application suite.
"Create a backup of the HKEY_CURRENT_USER\Software\Microsoft\Office\Outlook\Addins
folder by right-clicking the folder and selecting the Export option to save the key to a location on the computer. Then remove the old NPDFOutlookAddin.NPDFOutlook.1 registry key from within the HKEY_CURRENT_USER\Software\Microsoft\Office\Outlook\Addins folder and restart Outlook.
DISCLAIMER
: Edit the Registry at your own risk, only if qualified to do so. Kofax recommends backing up any changes prior to editing.
Level of Complexity
Expert",Kofax Power PDF Outlook Add-in keeps disappearing even after enabling the add-in in Outlook
"Problem:
Google Chrome and Microsoft Edge are opening PDF files in the browser despite Power PDF being set as the default.
Solution:
By design Chromium based browsers will always open PDF files natively regardless of the OS settings. You can now disable this behavior in the web browsers.
Please note: The settings below are for third party products not manufactured by Kofax, please verify all steps with the manufacture before making changes.
Chrome Settings Automatically Opening PDFs in Power PDF
Ensure that Power PDF is installed on the computer and set as the default application for PDFs.
In Chrome, go to the 
Menu
 icon, then choose 
Settings
.
In the 
Privacy and Security
section, select 
Site Settings
.
Select 
Additional content settings
.
Scroll down and select 
PDF documents
.
Switch the 
Download PDF files instead of automatically opening them in Chrome
 to 
On
.
PDF files will download in Chrome just like any other file. You can select the downloaded file at the bottom of the window, then choose 
Always open with system viewer
, then the file will open in the default PDF viewer.
Edge Settings Automatically Opening PDFs in Power PDF
Ensure that Power PDF is installed on the computer and set as the default application for PDFs.
In Edge, go to the 
Menu
 icon, then choose 
Settings
.
In the Cookies and Site Permissions

section, select 
PDF Documents
.
Select 
Additional content settings
.
Switch the 
Always download PDF files
to 
On
.
PDF files will download in Chrome just like any other file. You can select the downloaded file at the bottom of the window, then choose 
Always open with system viewer
, then the file will open in the default PDF viewer.
Depending on your Windows setup you may be prompted to open in the system viewer on your first PDF file.",Prevent Google Chrome or Edge from opening PDF files
"- select any *.pdf file in Windows Explorer;
- right-click on it and select Open with\Choose another app;
select Power PDF, mark ""Always use this app to open *.pdf files"" checkbox and click ""Ok"".
To invoke this for automation when a user logs in, the following command can be run in batch file;
{PATH}\DefaultViewer.exe /SetDefault
This presents the wizard to have them interactively set the default so we are compliant to Microsoft's design going forward in windows in how an application requires the user interaction to set the default, not programmatically.",Set PDF as default viewer is not working
"The behavior is by design in Power PDF since the integration was created within the MS office applications. We automatically accept tracked changes when converting them and they appear black in the output PDF document. Based on user feedback, an enhancement request has been placed to the product management team to have this changed in a future version of Power PDF. To align the output with the workaround we have below:
Procedure to follow - From Word
1) Open the word document
2) Click File > Export > Create Kofax PDF > Select 'Create Kofax PDF' button
3) On the Save As windows select 'Options..."" Change the 'Export what' option to 'Document with markup' and click ok
4) Save the output PDF file and it will preserve the necessary markups and tracked changes and links maintained
Level of Complexity
Moderate",How to preserve document content with markups and tracked changes in Word when converting to PDF
"Power PDF new version release introduced a change in the default handling of pages in source documents with different dimensions when adding to Power PDF in document assembly mode.
This article describes the advantages now this means that our product maintains the page dimensions of the source input file when adding them. This design change in our software did generate a few calls of assistance so we confirmed with development that this has been made to improve and align our product with other competitors and maintain the page integrity when converting documents to PDF files using Kofax Power PDF 4.x
This design change is documented as well in the help documentation for document assembly workflows",Power PDF 4.0 design change with document assembly workflows involving excel pages when inserting to an open PDF
Power PDF does not use Log4J,Power PDF and Log4j vulnerability (CVE-2021-44228)
"If all attempts fail at conversion from PDF to office document, this will not resolved by a complete uninstall and reinstall of the product,
because the location in Programdata is not removed or cleared so the corrupted license remains active.
Kofax support confirmed the below mentioned steps resolved the issue:
Close all the Power PDF applications and batch converter utilities such as the watched folder.
Go to ""C:\ProgramData\OmniPage\License Manager\""
Take a backup of the OPLicOEM.lic file, in case it needs to be reviewed by our support team and delete it
Now, open the Power PDF application, and see if a new OPLicOEM.lic file gets recreated in that location
After that, try to convert the Power PDF document to Word or office type document.
Level of Complexity
High",Unable to convert PDF to office word or excel using Power PDF
"Web browser add-ons supplement Windows Internet Explorer with extra features, such as toolbars and ActiveX controls.
Our explanation to what the users see inside of IE 11 is out of Power PDFs control because several add-ons are pre-installed in Internet Explorer but many come from the Internet and add-ons usually require that you give your permission before they're installed on your computer. However, some might be installed without your knowledge which in the case of a Power PDF deployment could happen silently to the users' PC.
Default Internet Explorer security is to ask to enable, therefore this prompt is expected. Group Policy can be enabled by the customer's IT to control add-ins being enabled and the warning given to notify them. It's recommended before making these changes to test then consult Microsoft for support.
Level of Complexity
Moderate",Why does Internet Explorer ask to enable the Kofax Power PDF 4.0 Plug-ins after deployment?
"Issue:
Power PDF - Use on a Surface Tablet with Stylus
Solution:
You can enable Touch Mode on Power PDF by clicking on the Touch / Mouse Mode icon in the quick access toolbar.
If you have removed this icon, Go to Customize Quick Access Tool Bar / More Commands. Add Touch/Mouse Mode if they are not there.",How do I use touch or or a stylus in Power PDF
"Power PDF Standard, Standard for Mac and Advanced are single licenses meant to be installed on your primary machine. Our EULA permits installation on a second machine for backup use provied that machine cannot be used at the same time as the first.",How many machines can I install my Power PDF license on?
"Power PDF integrates to the Windows Fonts and will show all installed True Type and Open Type Fonts on the users system
next if one is missing, locate and add the font file to the Windows fonts folder, typically 'C:\Windows\Fonts'
Also this action is available when right clicking the file up and clicking install.
Next time you open power PDF it should be available when adding text to the document.
Please note:
Fonts can be free or licensed, for a fee, for commercial use
.
Whether you pay for a font or acquire it for free, each font comes with a license that explains how you may use that font (and how you may not use the font).
Your rights and obligations are defined in the End User License Agreement (EULA) and we recommend understanding this before adding fonts to user machines after reviewing this article
Level of Complexity
Moderate",How to add customized fonts to Power PDF
